name,genres,features,rating,price
Counter-Strike,Action,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Family Sharing",88,$9.99
Counter-Strike: Condition Zero,Action,"Single-player, Multi-player, Valve Anti-Cheat enabled, Family Sharing",65,$9.99
The History Channel: Battle For The Pacific,Action,"Single-player, Multi-player, Family Sharing",N/A,N/A
Silo 2,Animation & Modeling,N/A,N/A,$59.99
Quantum of Solace,Action,"Single-player, Multi-player, Family Sharing",70,N/A
Call of Duty: World at War,Action,"Single-player, Multi-player, Co-op, Family Sharing",83,$14.99
King's Quest Collection,Adventure,"Single-player, Family Sharing",N/A,$9.99
Space Quest Collection,Adventure,"Single-player, Family Sharing",N/A,$6.59
Aces of the Galaxy,"Action, Casual","Single-player, Family Sharing",N/A,$3.29
TimeShift,Action,"Single-player, Multi-player, Family Sharing",71,$9.99
3D Ultra Minigolf Adventures,Sports,"Single-player, Family Sharing",N/A,$3.29
Prototype,"Action, Adventure","Single-player, Family Sharing",79,$4.99
Wolfenstein,Action,"Single-player, Multi-player, Family Sharing",74,N/A
Call of Duty: Modern Warfare 2 (2009),Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Family Sharing",86,$14.99
Call of Duty: Modern Warfare 2 (2009),Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Family Sharing",86,$14.99
Postal III,Action,"Single-player, Steam Achievements, Family Sharing",24,$5.99
Runespell: Overture,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",69,$9.99
Runespell: Overture Demo,N/A,Game demo,69,Free
Dead Mountaineer's Hotel,Adventure,"Single-player, Family Sharing",N/A,$7.99
A Stroke of Fate: Operation Valkyrie,Adventure,"Single-player, Family Sharing",N/A,$6.99
Vertex Dispenser,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Stats, Family Sharing",70,$9.99
Vertex Dispenser Demo,N/A,Game demo,70,Free
PT Boats: Knights of the Sea,Simulation,"Single-player, Multi-player, Family Sharing",N/A,$6.99
Kingdoms of Amalur: Reckoning,"Action, RPG","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",81,N/A
PT Boats: South Gambit,Simulation,"Single-player, Multi-player, Family Sharing",N/A,$6.99
Orcs Must Die!,"Action, Indie, Strategy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",83,$2.99
Orcs Must Die! Demo,N/A,Game demo,83,Free
